restaurant_id,name,creation_date,amount,total,restaurant_id
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-04-30,131,3628.7,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-05-31,46,1274.1999999999998,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-06-30,18,498.59999999999997,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-07-31,50,1385.0,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-08-31,42,1163.3999999999999,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-09-30,28,775.5999999999999,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-10-31,45,1246.5,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-11-30,49,1357.3,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2017-12-31,59,1634.3,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-01-31,65,1800.5,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-02-28,46,1274.2,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-03-31,48,1329.6,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-04-30,34,941.8,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-05-31,44,1218.8,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-06-30,45,1246.5,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-07-31,48,1329.6,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-08-31,45,1246.5,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-09-30,39,1080.3,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-10-31,31,858.6999999999999,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-11-30,29,803.3,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2018-12-31,40,1108.0,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2019-01-31,58,1606.6,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2019-02-28,54,1495.8,0
0,Cold Poached Atlantic Salmon: three vegetable antipasti,2019-03-31,32,886.4,0
0,Croft 90,2017-04-30,95,1719.5,0
0,Croft 90,2017-05-31,45,814.5,0
0,Croft 90,2017-06-30,20,362.0,0
0,Croft 90,2017-07-31,53,959.3,0
0,Croft 90,2017-08-31,46,832.6,0
0,Croft 90,2017-09-30,22,398.2,0
0,Croft 90,2017-10-31,42,760.2,0
0,Croft 90,2017-11-30,43,778.3,0
0,Croft 90,2017-12-31,31,561.1,0
0,Croft 90,2018-01-31,66,1194.6,0
0,Croft 90,2018-02-28,40,724.0,0
0,Croft 90,2018-03-31,30,543.0,0
0,Croft 90,2018-04-30,32,579.2,0
0,Croft 90,2018-05-31,34,615.4,0
0,Croft 90,2018-06-30,50,905.0,0
0,Croft 90,2018-07-31,34,615.4,0
0,Croft 90,2018-08-31,17,307.70000000000005,0
0,Croft 90,2018-09-30,40,724.0,0
0,Croft 90,2018-10-31,39,705.9,0
0,Croft 90,2018-11-30,38,687.8,0
0,Croft 90,2018-12-31,40,724.0,0
0,Croft 90,2019-01-31,43,778.3000000000001,0
0,Croft 90,2019-02-28,38,687.8,0
0,Croft 90,2019-03-31,28,506.8,0
0,Drambuie,2017-04-30,122,3111.0,0
0,Drambuie,2017-05-31,36,918.0,0
0,Drambuie,2017-06-30,25,637.5,0
0,Drambuie,2017-07-31,54,1377.0,0
0,Drambuie,2017-08-31,53,1351.5,0
0,Drambuie,2017-09-30,28,714.0,0
0,Drambuie,2017-10-31,59,1504.5,0
0,Drambuie,2017-11-30,43,1096.5,0
0,Drambuie,2017-12-31,37,943.5,0
0,Drambuie,2018-01-31,52,1326.0,0
0,Drambuie,2018-02-28,51,1300.5,0
0,Drambuie,2018-03-31,30,765.0,0
0,Drambuie,2018-04-30,20,510.0,0
0,Drambuie,2018-05-31,29,739.5,0
0,Drambuie,2018-06-30,34,867.0,0
0,Drambuie,2018-07-31,48,1224.0,0
0,Drambuie,2018-08-31,38,969.0,0
0,Drambuie,2018-09-30,31,790.5,0
0,Drambuie,2018-10-31,35,892.5,0
0,Drambuie,2018-11-30,43,1096.5,0
0,Drambuie,2018-12-31,22,561.0,0
0,Drambuie,2019-01-31,59,1504.5,0
0,Drambuie,2019-02-28,37,943.5,0
0,Drambuie,2019-03-31,51,1300.5,0
0,MUSSELS TOSCANE fresh tomatoes,2017-04-30,106,3084.6000000000004,0
0,MUSSELS TOSCANE fresh tomatoes,2017-05-31,48,1396.8000000000002,0
0,MUSSELS TOSCANE fresh tomatoes,2017-06-30,28,814.8000000000001,0
