,allergy_id,customer_id
0,2,25049
1,2,20754
2,2,823
3,2,18708
4,2,3731
5,2,14614
6,2,9819
7,2,15877
8,2,17509
9,2,20549
10,2,20609
11,2,13621
12,2,14283
13,2,25180
14,2,1967
15,2,18896
16,2,18191
17,2,14319
19,2,12667
20,2,11513
21,2,11384
22,2,21272
23,2,6887
24,2,5012
25,2,14693
26,2,16719
27,2,26081
28,2,2386
29,2,9478
30,2,19381
32,2,7590
33,2,14342
34,2,19124
35,2,9575
36,2,25801
37,2,17199
38,2,27196
39,2,17621
40,2,23259
41,2,7088
42,2,14368
43,2,9355
44,2,192
45,2,17764
46,2,16768
47,2,2068
48,2,3689
49,2,26299
50,2,13001
51,2,600
52,2,15165
53,2,19523
54,2,14843
55,2,12186
57,2,9641
59,2,24539
60,2,23643
61,2,26854
62,2,9426
63,2,18996
64,2,27016
65,2,24859
66,2,23900
67,2,13811
68,2,12269
69,2,26070
71,2,9910
72,2,7480
73,2,23351
74,2,8659
75,2,2490
76,2,16865
77,2,23036
78,2,26429
79,2,55
80,2,1618
81,2,1990
82,2,13483
83,2,10305
84,2,26434
85,2,27997
86,2,20249
87,2,5757
88,2,12981
89,2,4945
90,2,7668
91,2,15767
92,2,18117
93,2,28157
94,2,11647
95,2,1793
96,2,11658
97,2,22599
98,2,11028
99,2,5108
100,2,19938
101,2,3077
102,2,21898
103,2,22190
104,2,24584
105,2,1935
106,2,10606
107,2,10492
108,2,25438
109,2,10685
110,2,3503
111,2,22559
113,2,22370
114,2,8699
115,2,24091
116,2,21834
117,2,6652
118,2,5786
119,2,17170
120,2,21335
121,2,4973
122,2,23004
123,2,13371
125,2,14306
126,2,11101
127,2,25072
129,2,13551
130,2,966
131,2,4187
132,2,8919
134,2,24109
135,2,14768
136,2,28345
137,2,13990
138,2,20903
139,2,754
140,2,16995
141,2,5312
142,2,665
143,2,5922
145,2,15512
146,2,26680
147,2,7503
148,2,4708
149,2,16840
150,2,4823
151,2,15379
152,2,11077
153,2,19831
154,2,300
155,2,16226
156,2,9354
157,2,13471
158,2,22282
159,2,2894
161,2,2135
162,2,1886
164,2,900
165,2,18050
166,2,123
167,2,2833
168,2,3768
169,2,20209
170,2,1677
172,2,799
173,2,24204
174,2,16217
175,2,8179
176,2,3619
177,2,14703
178,2,15923
179,2,6775
181,2,13066
182,2,5567
183,2,4495
184,2,777
185,2,20950
188,2,2027
189,2,20850
190,2,17712
191,2,5131
192,2,13640
193,2,8798
194,2,10821
195,2,18128
196,2,22617
197,2,22531
198,2,26660
199,2,2272
200,2,4735
201,2,10537
202,2,8543
203,2,13125
204,2,28330
205,2,19641
206,2,5086
207,2,24466
208,2,17832
209,2,10583
210,2,21696
211,2,4593
212,2,10456
214,2,14795
215,2,9890
216,2,17818
217,2,20374
218,2,8538
219,2,344
220,2,10907
221,2,8716
222,2,2302
224,2,12078
226,2,17225
227,2,8374
228,2,24592
229,2,3072
230,2,1605
231,2,27745
232,2,9678
233,2,4233
234,2,19408
235,2,15930
237,2,5334
238,2,2537
239,2,733
240,2,572
241,2,7833
242,2,19058
243,2,16588
244,2,2703
245,2,20430
246,2,14153
247,2,4843
248,2,26190
249,2,1776
251,2,11857
252,2,23946
253,2,4037
254,2,20687
255,2,4202
256,2,6551
257,2,12082
258,2,11495
260,2,18029
261,2,20566
262,2,17974
263,2,20514
264,2,23620
265,2,11482
266,2,18392
267,2,25035
268,2,21109
269,2,12752
270,2,16287
271,2,7535
272,2,26059
273,2,25855
274,2,17020
276,2,28135
277,2,14036
278,2,11716
279,2,12311
280,2,6812
281,2,19639
282,2,8143
283,2,4949
284,2,15960
285,2,14395
286,2,3233
287,2,27832
288,2,21466
289,2,8544
290,2,23987
291,2,2539
292,2,23143
293,2,26318
294,2,15468
295,2,9723
296,2,10246
297,2,22944
299,2,22070
300,2,3317
301,2,15966
302,2,14384
303,2,17833
304,2,8732
305,2,4257
306,2,4378
307,2,3284
308,2,24279
309,2,23882
310,2,13660
311,2,15382
312,2,23960
313,2,5715
314,2,105
315,2,25373
316,2,12479
317,2,14396
318,2,19141
319,2,10141
320,2,21007
321,2,8553
322,2,15617
323,2,13766
324,2,18066
325,2,18783
326,2,24026
327,2,6188
328,2,5216
329,2,19367
330,2,22271
332,2,347
333,2,18051
334,2,12740
335,2,3094
336,2,13931
337,2,9327
338,2,20857
339,2,16548
341,2,6061
342,2,6926
343,2,10544
344,2,28490
345,2,20081
346,2,28781
348,2,21650
349,2,1516
351,2,21107
352,2,15983
353,2,14781
354,2,14783
355,2,25572
356,2,775
357,2,12643
359,2,274
360,2,12621
361,2,2047
362,2,19063
363,2,8825
364,2,6259
366,2,18551
367,2,6879
368,2,4932
370,2,2266
371,2,1400
372,2,5837
374,2,20538
375,2,13734
377,2,9015
378,2,13478
379,2,19859
380,2,15589
381,2,2157
382,2,18206
383,2,22697
384,2,9811
385,2,26545
386,2,2777
387,2,2213
388,2,13253
389,2,2687
390,2,8537
391,2,503
392,2,25344
393,2,13813
394,2,7151
395,2,16627
396,2,8827
397,2,23720
398,2,8409
399,2,19024
400,2,26289
401,2,7472
402,2,27198
403,2,21775
404,2,20394
405,2,14258
406,2,18804
407,2,8670
408,2,12087
409,2,27940
410,2,28360
411,2,26479
412,2,17709
413,2,9468
414,2,29006
415,2,8355
416,2,8914
417,2,1728
418,2,23266
419,2,11602
420,2,17851
421,2,14275
422,2,857
423,2,19568
424,2,15679
425,2,18022
426,2,14609
427,2,3942
428,2,4683
429,2,27165
430,2,6717
431,2,3556
432,2,7664
433,2,26862
436,2,4400
437,2,13603
438,2,7361
439,2,28572
440,2,17232
441,2,11512
442,2,13903
443,2,7688
445,2,10137
446,2,8055
447,2,7621
448,2,23740
449,2,7661
450,2,396
451,2,2204
452,2,984
453,2,13419
454,2,908
455,2,8903
456,2,21627
457,2,23034
458,2,15363
459,2,6861
460,2,7409
461,2,12900
462,2,12221
463,2,5123
464,2,15738
465,2,7185
466,2,23944
